case_id,label,loss_dice
00172,loss_dice_label0,0.034444987773895264
00207,loss_dice_label0,0.006041228771209717
00092,loss_dice_label0,0.050083160400390625
00248,loss_dice_label0,0.02587050199508667
00124,loss_dice_label0,0.006988406181335449
00208,loss_dice_label0,0.0067095160484313965
00297,loss_dice_label0,0.01352149248123169
00256,loss_dice_label0,0.010258972644805908
00261,loss_dice_label0,0.0033249258995056152
00152,loss_dice_label0,0.005495786666870117
00288,loss_dice_label0,0.009004771709442139
00066,loss_dice_label0,0.007380843162536621
00205,loss_dice_label0,0.004276454448699951
00195,loss_dice_label0,0.008469104766845703
00196,loss_dice_label0,0.0071201324462890625
00194,loss_dice_label0,0.002314269542694092
00286,loss_dice_label0,0.020823657512664795
00268,loss_dice_label0,0.004936099052429199
00173,loss_dice_label0,0.002042710781097412
00067,loss_dice_label0,0.0022240877151489258
00241,loss_dice_label0,0.008457720279693604
00185,loss_dice_label0,0.015798091888427734
00284,loss_dice_label0,0.005931854248046875
00282,loss_dice_label0,0.009208977222442627
00242,loss_dice_label0,0.00845712423324585
00095,loss_dice_label0,0.007896065711975098
00273,loss_dice_label0,0.005403280258178711
00250,loss_dice_label0,0.01255941390991211
00170,loss_dice_label0,0.006798505783081055
00121,loss_dice_label0,0.00533980131149292
00264,loss_dice_label0,0.013055980205535889
00093,loss_dice_label0,0.006270110607147217
00193,loss_dice_label0,0.001425325870513916
00197,loss_dice_label0,0.013854384422302246
00064,loss_dice_label0,0.004565775394439697
00158,loss_dice_label0,0.0034303665161132812
00203,loss_dice_label0,0.01414501667022705
00290,loss_dice_label0,0.0067369937896728516
00114,loss_dice_label0,0.02658015489578247
00284,loss_dice_label0,0.00788944959640503
00092,loss_dice_label0,0.025359272956848145
00127,loss_dice_label0,0.007291197776794434
00265,loss_dice_label0,0.006895840167999268
00196,loss_dice_label0,0.00525510311126709
00228,loss_dice_label0,0.009479045867919922
00225,loss_dice_label0,0.0014174580574035645
00161,loss_dice_label0,0.01217430830001831
00280,loss_dice_label0,0.03653806447982788
00205,loss_dice_label0,0.013477742671966553
00285,loss_dice_label0,0.0069054365158081055
00254,loss_dice_label0,0.004478812217712402
00242,loss_dice_label0,0.013569414615631104
00182,loss_dice_label0,0.008305549621582031
00197,loss_dice_label0,0.006838500499725342
00248,loss_dice_label0,0.0016241073608398438
00100,loss_dice_label0,0.003656744956970215
00265,loss_dice_label0,0.0064285993576049805
00097,loss_dice_label0,0.006296753883361816
00198,loss_dice_label0,0.002077043056488037
00185,loss_dice_label0,0.010285615921020508
00127,loss_dice_label0,0.006389915943145752
00232,loss_dice_label0,0.006188035011291504
00209,loss_dice_label0,0.005266964435577393
00218,loss_dice_label0,0.0048378705978393555
00178,loss_dice_label0,0.010249674320220947
00266,loss_dice_label0,0.005091309547424316
00231,loss_dice_label0,0.006972014904022217
00120,loss_dice_label0,0.003446817398071289
00214,loss_dice_label0,0.006314396858215332
00188,loss_dice_label0,0.005555868148803711
00251,loss_dice_label0,0.008461594581604004
00151,loss_dice_label0,0.018317997455596924
00156,loss_dice_label0,0.005090117454528809
00138,loss_dice_label0,0.0057266950607299805
00076,loss_dice_label0,0.0061730146408081055
00178,loss_dice_label0,0.004997551441192627
00276,loss_dice_label0,0.004587531089782715
00097,loss_dice_label0,0.007490873336791992
00273,loss_dice_label0,0.004612147808074951
00152,loss_dice_label0,0.0056226253509521484
00068,loss_dice_label0,0.004690110683441162
00067,loss_dice_label0,0.04821646213531494
00092,loss_dice_label0,0.007382988929748535
00238,loss_dice_label0,0.007400572299957275
00220,loss_dice_label0,0.00730741024017334
00299,loss_dice_label0,0.0026366114616394043
00287,loss_dice_label0,0.006628215312957764
00143,loss_dice_label0,0.007081389427185059
00095,loss_dice_label0,0.00550609827041626
00252,loss_dice_label0,0.020591914653778076
00173,loss_dice_label0,0.0060079097747802734
00237,loss_dice_label0,0.008790969848632812
00117,loss_dice_label0,0.007408022880554199
00145,loss_dice_label0,0.02470308542251587
00214,loss_dice_label0,0.003968536853790283
00222,loss_dice_label0,0.014230132102966309
00272,loss_dice_label0,0.00390779972076416
00252,loss_dice_label0,0.013739466667175293
00125,loss_dice_label0,0.005696117877960205
00246,loss_dice_label0,0.009322524070739746
00078,loss_dice_label0,0.0050820112228393555
00265,loss_dice_label0,0.006596267223358154
00156,loss_dice_label0,0.005762457847595215
00298,loss_dice_label0,0.00328826904296875
00213,loss_dice_label0,0.0016380548477172852
00250,loss_dice_label0,0.007248997688293457
00249,loss_dice_label0,0.00878077745437622
00119,loss_dice_label0,0.022949814796447754
00188,loss_dice_label0,0.010460972785949707
00161,loss_dice_label0,0.012487411499023438
00068,loss_dice_label0,0.008282065391540527
00282,loss_dice_label0,0.0032625198364257812
00195,loss_dice_label0,0.015411376953125
00230,loss_dice_label0,0.00588148832321167
00273,loss_dice_label0,0.00596386194229126
00283,loss_dice_label0,0.011100292205810547
00147,loss_dice_label0,0.005798935890197754
00165,loss_dice_label0,0.003781557083129883
00224,loss_dice_label0,0.07290816307067871
00183,loss_dice_label0,0.005003631114959717
00285,loss_dice_label0,0.006251513957977295
00125,loss_dice_label0,0.002249598503112793
00254,loss_dice_label0,0.0021366477012634277
00129,loss_dice_label0,0.0024088621139526367
00083,loss_dice_label0,0.007509946823120117
00127,loss_dice_label0,0.006525218486785889
00069,loss_dice_label0,0.010008931159973145
00257,loss_dice_label0,0.007375895977020264
00243,loss_dice_label0,0.0060138702392578125
00182,loss_dice_label0,0.007069706916809082
00073,loss_dice_label0,0.051579296588897705
00060,loss_dice_label0,0.005119681358337402
00068,loss_dice_label0,0.002982497215270996
00282,loss_dice_label0,0.006530821323394775
00188,loss_dice_label0,0.005239546298980713
00276,loss_dice_label0,0.0052089691162109375
00105,loss_dice_label0,0.0055654048919677734
00200,loss_dice_label0,0.01280367374420166
00119,loss_dice_label0,0.006298422813415527
00221,loss_dice_label0,0.026241540908813477
00238,loss_dice_label0,0.0080413818359375
00235,loss_dice_label0,0.008845984935760498
00076,loss_dice_label0,0.015477955341339111
00293,loss_dice_label0,0.005568146705627441
00154,loss_dice_label0,0.007641136646270752
00255,loss_dice_label0,0.004945516586303711
00267,loss_dice_label0,0.004715383052825928
00060,loss_dice_label0,0.006428897380828857
00244,loss_dice_label0,0.005999088287353516
00149,loss_dice_label0,0.013736605644226074
00083,loss_dice_label0,0.0052683353424072266
00252,loss_dice_label0,0.011850178241729736
00192,loss_dice_label0,0.024164557456970215
00100,loss_dice_label0,0.0035917162895202637
00236,loss_dice_label0,0.021128475666046143
00108,loss_dice_label0,0.02270352840423584
00277,loss_dice_label0,0.04659479856491089
00241,loss_dice_label0,0.0007920265197753906
