case_id,label,loss_dice
00213,loss_dice_label0,0.004639089107513428
00261,loss_dice_label0,0.004014790058135986
00298,loss_dice_label0,0.00846332311630249
00099,loss_dice_label0,0.009174048900604248
00233,loss_dice_label0,0.02567112445831299
00286,loss_dice_label0,0.027819395065307617
00073,loss_dice_label0,0.0028020143508911133
00195,loss_dice_label0,0.00840681791305542
00165,loss_dice_label0,0.001124739646911621
00105,loss_dice_label0,0.057828664779663086
00241,loss_dice_label0,0.0026499032974243164
00129,loss_dice_label0,0.005189836025238037
00127,loss_dice_label0,0.0043250322341918945
00115,loss_dice_label0,0.01722472906112671
00179,loss_dice_label0,0.00655442476272583
00204,loss_dice_label0,0.006785213947296143
00117,loss_dice_label0,0.007681071758270264
00237,loss_dice_label0,0.0033638477325439453
00140,loss_dice_label0,0.0054236650466918945
00138,loss_dice_label0,0.006147980690002441
00198,loss_dice_label0,0.09694254398345947
00178,loss_dice_label0,0.0028766989707946777
00063,loss_dice_label0,0.0021340250968933105
00163,loss_dice_label0,0.005808234214782715
00218,loss_dice_label0,0.006162762641906738
00277,loss_dice_label0,0.0036240220069885254
00192,loss_dice_label0,0.12511146068572998
00299,loss_dice_label0,0.003950297832489014
00243,loss_dice_label0,0.00603252649307251
00125,loss_dice_label0,0.005571842193603516
00266,loss_dice_label0,0.0033804774284362793
00287,loss_dice_label0,0.006371259689331055
00293,loss_dice_label0,0.014136672019958496
00210,loss_dice_label0,0.012620687484741211
00161,loss_dice_label0,0.008540451526641846
00251,loss_dice_label0,0.006994962692260742
00214,loss_dice_label0,0.006368160247802734
00176,loss_dice_label0,0.006565093994140625
00075,loss_dice_label0,0.004463851451873779
00194,loss_dice_label0,0.008488893508911133
00275,loss_dice_label0,0.010340094566345215
00084,loss_dice_label0,0.009461283683776855
00188,loss_dice_label0,0.004424154758453369
00228,loss_dice_label0,0.0021475553512573242
00221,loss_dice_label0,0.0043103694915771484
00208,loss_dice_label0,0.000990748405456543
00143,loss_dice_label0,0.0008131861686706543
00084,loss_dice_label0,0.00996255874633789
00145,loss_dice_label0,0.009054005146026611
00279,loss_dice_label0,0.005805909633636475
00115,loss_dice_label0,0.0033881664276123047
00293,loss_dice_label0,0.006798863410949707
00259,loss_dice_label0,0.005334079265594482
00256,loss_dice_label0,0.0058879852294921875
00129,loss_dice_label0,0.005573451519012451
00220,loss_dice_label0,0.004797756671905518
00278,loss_dice_label0,0.005852162837982178
00270,loss_dice_label0,0.006339550018310547
00105,loss_dice_label0,0.00326693058013916
00238,loss_dice_label0,0.00736236572265625
00165,loss_dice_label0,0.0007508397102355957
00111,loss_dice_label0,0.004027366638183594
00218,loss_dice_label0,0.005080878734588623
00283,loss_dice_label0,0.008400678634643555
00284,loss_dice_label0,0.004926800727844238
00178,loss_dice_label0,0.0051229000091552734
00066,loss_dice_label0,0.0035827159881591797
00215,loss_dice_label0,0.0046263933181762695
00108,loss_dice_label0,0.012737631797790527
00154,loss_dice_label0,0.00444716215133667
00118,loss_dice_label0,0.005227923393249512
00207,loss_dice_label0,0.007269620895385742
00115,loss_dice_label0,0.0011969804763793945
00204,loss_dice_label0,0.010538101196289062
00283,loss_dice_label0,0.0074326395988464355
00266,loss_dice_label0,0.003371715545654297
00141,loss_dice_label0,0.006485581398010254
00270,loss_dice_label0,0.00824892520904541
00179,loss_dice_label0,0.004655420780181885
00129,loss_dice_label0,0.00605618953704834
00125,loss_dice_label0,0.005669772624969482
00261,loss_dice_label0,0.004156351089477539
00241,loss_dice_label0,0.008162915706634521
00275,loss_dice_label0,0.006842672824859619
00252,loss_dice_label0,0.007342815399169922
00244,loss_dice_label0,0.004084169864654541
00203,loss_dice_label0,0.0021162033081054688
00285,loss_dice_label0,0.0057669878005981445
00294,loss_dice_label0,0.00842130184173584
00127,loss_dice_label0,0.0031090974807739258
00156,loss_dice_label0,0.004746615886688232
00255,loss_dice_label0,0.005992710590362549
00234,loss_dice_label0,0.004233419895172119
00178,loss_dice_label0,0.00844031572341919
00248,loss_dice_label0,0.015061557292938232
00095,loss_dice_label0,0.004732966423034668
00180,loss_dice_label0,0.006323635578155518
