,case_id,label,loss_dice
0,76,loss_dice_label0,0.033793509006500244
1,17b,loss_dice_label0,0.025745272636413574
2,17,loss_dice_label0,0.05115753412246704
3,24,loss_dice_label0,0.022202014923095703
4,20,loss_dice_label0,0.029735326766967773
5,64a,loss_dice_label0,0.035074710845947266
6,60,loss_dice_label0,0.33768773078918457
7,88,loss_dice_label0,0.019354403018951416
8,57,loss_dice_label0,0.05815249681472778
9,46,loss_dice_label0,0.024185001850128174
10,52,loss_dice_label0,0.023582935333251953
11,47,loss_dice_label0,0.022895097732543945
12,91,loss_dice_label0,0.016367554664611816
13,67,loss_dice_label0,0.035749971866607666
14,51,loss_dice_label0,0.07448643445968628
15,47,loss_dice_label0,0.032264769077301025
16,53,loss_dice_label0,0.052253127098083496
17,50,loss_dice_label0,0.25377434492111206
18,71,loss_dice_label0,0.04955863952636719
19,78,loss_dice_label0,0.04068112373352051
20,21,loss_dice_label0,0.024791181087493896
21,46,loss_dice_label0,0.027625858783721924
22,20,loss_dice_label0,0.05749011039733887
23,89,loss_dice_label0,0.1357542872428894
24,60,loss_dice_label0,0.17475438117980957
25,58,loss_dice_label0,0.18846821784973145
26,90,loss_dice_label0,0.0439266562461853
27,56,loss_dice_label0,0.11725157499313354
28,86,loss_dice_label0,0.019510507583618164
29,89,loss_dice_label0,0.10494482517242432
30,94a,loss_dice_label0,0.05018645524978638
31,19b,loss_dice_label0,0.06364655494689941
32,53,loss_dice_label0,0.050275981426239014
33,75,loss_dice_label0,0.04658299684524536
34,83,loss_dice_label0,0.10240954160690308
35,71,loss_dice_label0,0.045326054096221924
36,78,loss_dice_label0,0.045112788677215576
37,55a,loss_dice_label0,0.25724637508392334
38,67,loss_dice_label0,0.04614841938018799
39,21b,loss_dice_label0,0.01883697509765625
40,94,loss_dice_label0,0.032354116439819336
41,73,loss_dice_label0,0.03358101844787598
42,92,loss_dice_label0,0.524301290512085
43,57,loss_dice_label0,0.01769810914993286
44,56,loss_dice_label0,0.11774301528930664
45,19,loss_dice_label0,0.05097150802612305
46,17b,loss_dice_label0,0.023076355457305908
47,93,loss_dice_label0,0.07075631618499756
48,n2,loss_dice_label0,0.20606476068496704
49,40,loss_dice_label0,0.07464051246643066
50,75,loss_dice_label0,0.04971987009048462
51,64a,loss_dice_label0,0.05073434114456177
52,70a,loss_dice_label0,0.02378743886947632
53,67a,loss_dice_label0,0.03914076089859009
54,85,loss_dice_label0,0.11235260963439941
55,70,loss_dice_label0,0.038368940353393555
56,21,loss_dice_label0,0.05098700523376465
57,21b,loss_dice_label0,0.039074838161468506
58,43,loss_dice_label0,0.04733121395111084
59,93,loss_dice_label0,0.043367624282836914
60,94,loss_dice_label0,0.03513818979263306
61,40,loss_dice_label0,0.021588146686553955
62,n2,loss_dice_label0,0.16780048608779907
63,81,loss_dice_label0,0.03760230541229248
65,91,loss_dice_label0,0.017798781394958496
66,17,loss_dice_label0,0.05241590738296509
67,86,loss_dice_label0,0.021294355392456055
68,25,loss_dice_label0,0.016955137252807617
69,19b,loss_dice_label0,0.04228997230529785
70,55a,loss_dice_label0,0.22772377729415894
71,52,loss_dice_label0,0.04869663715362549
72,43,loss_dice_label0,0.04793393611907959
73,67a,loss_dice_label0,0.049273133277893066
74,26,loss_dice_label0,0.035643696784973145
75,90,loss_dice_label0,0.05191236734390259
76,70a,loss_dice_label0,0.03261864185333252
78,58,loss_dice_label0,0.016071438789367676
79,51,loss_dice_label0,0.014787852764129639
80,50,loss_dice_label0,0.05664408206939697
81,63,loss_dice_label0,0.062162935733795166
82,19,loss_dice_label0,0.0647115707397461
83,26,loss_dice_label0,0.05859595537185669
84,92,loss_dice_label0,0.12274718284606934
85,64,loss_dice_label0,0.041842103004455566
86,54,loss_dice_label0,0.09058612585067749
87,66,loss_dice_label0,0.029103219509124756
88,25,loss_dice_label0,0.05751246213912964
89,73,loss_dice_label0,0.02266824245452881
91,94a,loss_dice_label0,0.03597557544708252
92,88,loss_dice_label0,0.05693531036376953
93,24,loss_dice_label0,0.017019152641296387
94,81,loss_dice_label0,0.017305493354797363
95,85,loss_dice_label0,0.03219497203826904
96,76,loss_dice_label0,0.01859527826309204
97,83,loss_dice_label0,0.11076110601425171
